Main,Track,Location,Date,Time,Speaker,Format,Panelist,Moderator
Wednesday Briefings Breakfast,""," Bayside DE, Level 1",WEDNESDAY , 8:00AM,,,,
 Guardians of the AI Era: Navigating the Cybersecurity Landscape of Tomorrow,  Keynote," Shoreline Ballroom, Level 2",WEDNESDAY , 9:00AM, Maria Markstedter, 60-Minute Keynote,,
A Pain in the NAS: Exploiting Cloud Connectivity to PWN Your NAS,"  Cloud Security,  Cyber-Physical Systems & IoT"," Oceanside C, Level 2",WEDNESDAY , 10:20AM," Noam Moshe, Speaker: Sharon Brizinov", 40-Minute Briefings,,
Chained to Hit: Discovering New Vectors to Gain Remote and Root Access in SAP Enterprise Software,"  Enterprise Security,  Application Security: Offense"," Islander HI, Level 0",WEDNESDAY , 10:20AM," Yvan Genuer, Speaker: Pablo Artuso", 40-Minute Briefings,,
Civil Cyber Defense: Use Your Resources to Defend Non-Profits as They Combat Human Trafficking and Subvert Authoritarian Regimes,"  Community & Career,  Privacy"," Jasmine AE, Level 3",WEDNESDAY , 10:20AM," Tiffany Rad, Speaker: Austin Shamlin", 40-Minute Briefings,,
Core Escalation: Unleashing the Power of Cross-Core Attacks on Heterogeneous System,"  Mobile,  Exploit Development"," South Seas AB, Level 3",WEDNESDAY , 10:20AM, Guanxing Wen, 40-Minute Briefings,,
Defender-Pretender: When Windows Defender Updates Become a Security Risk,"  Platform Security,  Reverse Engineering"," Mandalay Bay H, Level 2",WEDNESDAY , 10:20AM," Tomer Bar, Speaker: Omer Attias", 40-Minute Briefings,,
"Devising and Detecting Phishing: Large Language Models (GPT3, GPT4) vs. Smaller Human Models (V-Triad, Generic Emails)","  Human Factors,  AI, ML, & Data Science"," South Seas CD, Level 3",WEDNESDAY , 10:20AM," Fredrik Heiding, Contributor: Bruce Schneier, Contributor: Arun Vishwanath, Contributor: Jeremy Bernstein", 40-Minute Briefings,,
Reflections on Trust in the Software Supply Chain,"  Application Security: Defense,  Enterprise Security"," Islander FG, Level 0",WEDNESDAY , 10:20AM, Jeremy Long, 40-Minute Briefings,,
Smashing the State Machine: The True Potential of Web Race Conditions,"  Application Security: Offense,  Exploit Development"," Oceanside A, Level 2",WEDNESDAY , 10:20AM, James Kettle, 40-Minute Briefings,,
Video-Based Cryptanalysis: Recovering Cryptographic Keys from Non-compromised Devices Using Video Footage of a Device's Power LED,"  Hardware / Embedded,  Cryptography"," South Pacific F, Level 0",WEDNESDAY , 10:20AM," Ben Nassi, Speaker: Etay Iluz", 40-Minute Briefings,,
Briefings Morning Refreshment Break,"", Briefings Area,WEDNESDAY , 11:00AM,,,,
"Apple PAC, Four Years Later: Reverse Engineering the Customized Pointer Authentication Hardware Implementation on Apple M1","  Reverse Engineering,  Hardware / Embedded"," Islander FG, Level 0",WEDNESDAY , 11:20AM," Zec Cai, Contributor: Jiaxun Zhu, Contributor: Yutian Yang, Contributor: Wenbo Shen, Contributor: Yu Wang", 40-Minute Briefings,,
Badge of Shame: Breaking into Secure Facilities with OSDP,"  Cyber-Physical Systems & IoT,  Cryptography"," South Seas CD, Level 3",WEDNESDAY , 11:20AM," Dan Petro, Speaker: David Vargas", 40-Minute Briefings,,
BingBang: Hacking Bing.com (and much more) with Azure Active Directory,"  Cloud Security,  Enterprise Security"," Oceanside C, Level 2",WEDNESDAY , 11:20AM, Hillai Ben-Sasson, 40-Minute Briefings,,
"Fast, Ever-Evolving Defenders: The Resilience Revolution",  Defense," Oceanside A, Level 2",WEDNESDAY , 11:20AM, Kelly Shortridge, 40-Minute Briefings,,
Jailbreaking an Electric Vehicle in 2023 or What It Means to Hotwire Tesla's x86-Based Seat Heater,"  Platform Security,  Hardware / Embedded"," South Pacific F, Level 0",WEDNESDAY , 11:20AM," Christian Werling, Speaker: Niclas Kühnapfel, Contributor: Hans Niklas Jacob, Contributor: Oleg Drokin", 40-Minute Briefings,,
Lost Control: Breaking Hardware-Assisted Kernel Control-Flow Integrity with Page-Oriented Programming,"  Exploit Development,  Platform Security"," South Seas AB, Level 3",WEDNESDAY , 11:20AM, Seunghun Han, 40-Minute Briefings,,
Redacted Telecom Talk,"  Cryptography,  Hardware / Embedded"," Mandalay Bay H, Level 2",WEDNESDAY , 11:20AM," Carlo Meijer, Speaker: Wouter Bokslag, Speaker: Jos Wetzels", 40-Minute Briefings,,
Risks of AI Risk Policy: Five Lessons,"  Policy,  AI, ML, & Data Science"," Jasmine AE, Level 3",WEDNESDAY , 11:20AM," Ram Shankar Siva Kumar, Speaker: Jonathon Penney", 40-Minute Briefings,,
Route to Bugs: Analyzing the Security of BGP Message Parsing,"  Network Security,  Application Security: Offense"," Islander HI, Level 0",WEDNESDAY , 11:20AM," Daniel dos Santos, Speaker: Simon Guiot, Contributor: Stanislav Dashevskyi, Contributor: Amine Amri, Contributor: Oussama Kerro", 40-Minute Briefings,,
Wednesday Briefings Lunch,""," Bayside DE, Level 1",WEDNESDAY , 12:00PM,,,,
Becoming a Dark Knight: Adversary Emulation Demonstration for ATT&CK Evaluations,"  Defense,  Data Forensics & Incident Response"," Islander FG, Level 0",WEDNESDAY , 1:30PM," Cat Self, Speaker: Kate Esprit", 40-Minute Briefings,,
dr1v3by! Broken 802.11 Wifi Driver Leads to Millions of Vulnerable Cars,"  Cyber-Physical Systems & IoT,  Exploit Development"," Mandalay Bay H, Level 2",WEDNESDAY , 1:30PM, Omri Ben Bassat, 40-Minute Briefings,,
